CLR	gs	100.69700718	5.94551518	1.08639306	29.16071987
CLR	gs_author	120.43567268	12.27778869	1.47652075	38.98482923
CLR	idirect	95.92407570	7.94827768	1.17352999	28.81982152
CLR	nd	109.64619253	11.30138890	1.14428313	31.79661558
CLR	pc	97.98870000	7.26805417	1.16375892	29.05533849
CLR	raw	82.61518607	9.52219898	1.08639306	26.82047845
ARACNE	gs	62.95282184	10.12192650	0.02088701	18.14230202
ARACNE	gs_author	80.65841728	11.49908214	0.07019424	22.89746431
ARACNE	idirect	39.54078663	5.16383771	0.00027455	16.08877091
ARACNE	nd	56.79422728	10.26067314	0.01838317	19.89157234
ARACNE	pc	36.99713092	5.09055675	0.00024375	15.65831155
ARACNE	raw	19.69415209	6.51660164	0.00020425	12.94955905
MI	gs	89.27062312	12.21339344	0.04768576	25.80590958
MI	gs_author	110.10679686	13.75390961	0.10033240	32.31631650
MI	idirect	54.73345857	5.49934131	0.00265778	20.59105995
MI	nd	74.57795861	12.39622716	0.04768576	25.35566693
MI	pc	53.58357049	5.20434046	0.00280260	20.36508266
MI	raw	27.03087191	8.21247000	0.00100248	16.33737418
Pearson	gs	0.00002252	10.53559909	1.36326323	2.49777582
Pearson	gs_author	0.00002817	11.48864018	1.88560838	3.04506400
Pearson	idirect	0.00002878	3.82960355	0.34756567	1.15400771
Pearson	nd	0.00003899	10.98715437	1.32268773	2.56594524
Pearson	pc	0.00003093	3.64824901	0.34756567	1.12378232
Pearson	raw	0.00002245	5.02863419	0.32698290	1.35053479
Spearman	gs	0.00006825	7.55693057	1.91902130	1.82913832
Spearman	gs_author	0.00210354	8.36643114	2.45023799	2.27915663
Spearman	idirect	0.00289658	3.52335048	0.11006072	0.80782756
Spearman	nd	0.00124699	7.61791620	1.90786620	1.83781749
Spearman	pc	0.00222731	3.32156532	0.10033240	0.77246376
Spearman	raw	0.00002255	4.33241452	0.08840115	0.93863389
GENIE3	gs	170.92124697	17.00677204	1.26244900	56.19986615
GENIE3	gs_author	170.30017466	16.91413741	1.46612475	54.19721970
GENIE3	idirect	191.78402837	15.47357118	1.13457858	61.96928170
GENIE3	nd	195.99966409	17.93238822	1.28244448	63.14959328
GENIE3	pc	206.58616958	12.62370198	1.07682407	63.98755571
GENIE3	raw	141.53935583	20.27778479	1.20297482	54.32654487
TIGRESS	gs	132.20702080	6.45155738	0.88133459	36.65016114
TIGRESS	gs_author	130.03636116	6.40700641	0.88133459	31.41340149
TIGRESS	idirect	145.38078279	6.91707006	1.03877839	40.64137574
TIGRESS	nd	144.52796484	6.78379500	0.96381402	40.35849391
TIGRESS	pc	145.41184038	6.65577447	1.07682407	40.61429080
TIGRESS	raw	150.59636288	6.71345720	1.06727800	41.50619849
Inferelator	gs	101.52956201	5.49178402	17.55553974	27.36072959
Inferelator	gs_author	103.42819595	6.45155738	18.56701850	26.94655130
Inferelator	idirect	106.92908964	12.17054475	17.25501816	29.55660389
Inferelator	nd	101.16490750	8.69196242	18.24172939	28.30379150
Inferelator	pc	109.68679620	13.40040968	17.01558574	30.19395857
Inferelator	raw	97.17048044	11.71931252	16.55914353	27.73860720
ANOVerence	gs	0.00002245	29.30700444	2.18029596	24.60739333
ANOVerence	gs_author	0.00002245	26.12321853	2.59435952	28.84186993
ANOVerence	idirect	82.37963349	36.05009524	1.85235332	41.25882016
ANOVerence	nd	0.00002245	27.10421324	3.56856650	25.37353266
ANOVerence	pc	93.50492661	36.20360074	1.86342072	43.17842606
ANOVerence	raw	68.74172759	39.87243290	1.77537966	39.60478502
Community	gs	163.82066266	19.23606914	3.78101928	61.93211522
Community	gs_author	163.87003826	19.41241485	3.99669982	62.82711862
Community	idirect	235.25399059	19.16442244	3.32059591	75.68200218
Community	nd	190.93206524	20.55864790	3.83464020	66.98263435
Community	pc	206.10745839	18.46067645	3.33352776	69.12577508
Community	raw	190.11733123	18.65967493	3.47665618	66.49854413
